	Music	Slow songs or fast songs	Dance	Folk	Country	Classical music	Musical	Pop	Rock	Metal or Hardrock	Punk	Hiphop, Rap	Reggae, Ska	Swing, Jazz	Rock n roll	Alternative	Latino	Techno, Trance	Opera	Movies	Horror	Thriller	Comedy	Romantic	Sci-fi	War	Fantasy/Fairy tales	Animated	Documentary	Western	Action	History	Psychology	Politics	Mathematics	Physics	Internet	PC	Economy Management	Biology	Chemistry	Reading	Geography	Foreign languages	Medicine	Law	Cars	Art exhibitions	Religion	Countryside, outdoors	Dancing	Musical instruments	Writing	Passive sport	Active sport	Gardening	Celebrities	Shopping	Science and technology	Theatre	Fun with friends	Adrenaline sports	Pets	Flying	Storm	Darkness	Heights	Spiders	Snakes	Rats	Ageing	Dangerous dogs	Fear of public speaking	Healthy eating	Daily events	Prioritising workload	Writing notes	Workaholism	Thinking ahead	Final judgement	Reliability	Keeping promises	Loss of interest	Friends versus money	Funniness	Fake	Criminal damage	Decision making	Elections	Self-criticism	Judgment calls	Hypochondria	Eating to survive	Giving	Compassion to animals	Borrowed stuff	Loneliness	Cheating in school	Health	Changing the past	God	Dreams	Charity	Number of friends	Waiting	New environment	Mood swings	Appearence and gestures	Socializing	Achievements	Responding to a serious letter	Children	Assertiveness	Getting angry	Knowing the right people	Public speaking	Unpopularity	Life struggles	Happiness in life	Energy levels	Small - big dogs	Personality	Finding lost valuables	Getting up	Interests or hobbies	Parents' advice	Questionnaires or polls	Finances	Shopping centres	Branded clothing	Entertainment spending	Spending on looks	Spending on gadgets	Spending on healthy eating	Age	Height	Weight	Number of siblings	Gender_female	Gender_male	Left_right_handed_left handed	Left_right_handed_right handed	Only_child_no	Only_child_yes	Village_town_city	Village_town_village	House_block_of_flats_block of flats	House_block_of_flats_house/bungalow	Smoking	Alcohol	Punctuality	Lying	Internet_usage	Education
270	5.0	3.0	3.0	2.0	1.0	1.0	3.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	2.0	1.0	5.0	3.0	3.0	5.0	4.0	2.0	2.0	5.0	5.0	5.0	2.0	5.0	3.0	5.0	3.0	1.0	1.0	5.0	4.0	2.0	2.0	1.0	4.0	4.0	4.0	2.0	2.0	1.0	2.0	1.0	2.0	2.463073852295409	1.0	1.0	1.0	1.0	1.0	5.0	5.0	2.0	5.0	5.0	1.0	5.0	2.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0	5.0	4.0	5.0	2.0	3.0	5.0	1.0	5.0	2.0	2.0	5.0	5.0	1.0	4.0	5.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	3.0	3.666666666666666	1.3640776699029118	2.4637904468412923	1.4	1	0	0	1	1	0	1	0	1	0	4.0	2.0	1.0	3.0	2.0	4.0
803	5.0	4.0	4.0	3.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0	3.0	4.0	2.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	5.0	4.0	1.0	2.0	5.0	4.0	3.0	1.0	1.0	5.0	3.0	3.0	4.0	4.0	5.0	5.0	5.0	3.0	2.0	1.0	5.0	3.0	4.0	4.0	5.0	4.0	3.0	4.0	1.0	5.0	5.0	2.0	4.0	5.0	3.0	4.0	4.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	3.0	4.0	3.0	3.0	5.0	5.0	1.0	5.0	2.0	3.0	1.0	4.0	1.0	4.0	3.0	4.0	1.0	4.0	5.0	4.0	3.0	2.0	5.0	4.0	3.0	3.0	3.0	5.0	1.0	2.0	3.0	5.0	2.0	3.0	5.0	5.0	4.0	2.0	4.0	5.0	3.0	5.0	3.0	5.0	1.0	3.0	5.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	5.0	2.0	4.0	1.666666666666666	1.3640776699029118	1.1540832049306626	2.2	1	0	0	1	1	0	0	1	0	1	4.0	2.0	3.0	4.0	1.0	3.0
173	5.0	3.0	2.0	1.0	2.0	4.0	4.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	5.0	4.0	5.0	4.0	3.0	5.0	4.0	5.0	3.0	3.0	4.0	5.0	3.0	4.0	3.0	2.0	1.0	4.0	2.0	5.0	5.0	2.0	2.0	3.0	1.0	2.0	4.0	2.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	2.0	4.0	3.0	1.0	1.0	4.0	5.0	3.0	5.0	2.0	5.0	1.0	1.0	2.0	3.0	2.0	4.0	3.0	2.0	1.0	4.0	3.0	5.0	2.0	2.0	5.0	5.0	1.0	5.0	4.0	1.0	3.0	5.0	1.0	1.0	5.0	1.0	5.0	4.0	1.0	2.0	4.0	5.0	5.0	4.0	4.0	3.0	4.0	2.0	3.0	1.0	2.0	3.0	4.0	4.0	3.0	2.0	4.0	1.0	5.0	4.0	2.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	5.0	4.0	3.0	4.0339805825242685	2.848998459167948	1.4	0	1	0	1	1	0	1	0	1	0	1.0	2.0	3.0	4.0	1.0	3.0
92	5.0	2.0	1.0	3.0	4.0	4.0	4.0	2.0	3.0	1.0	2.0	1.0	3.0	5.0	4.0	3.0	3.0	1.0	4.0	5.0	1.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	5.0	4.0	5.0	2.0	1.0	1.0	5.0	4.0	5.0	3.0	2.0	4.0	2.0	2.0	1.0	2.0	3.0	2.0	4.0	3.6666666666666665	2.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	2.0	4.0	2.0	5.0	5.0	4.0	5.0	5.0	4.0	3.0	3.0	1.0	3.0	2.0	5.0	4.0	1.0	3.0	2.0	5.0	5.0	4.0	2.0	2.0	3.0	5.0	4.0	3.0	4.0	2.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	4.0	3.0	4.0	1.0	4.0	3.0	4.0	3.0	5.0	3.0	3.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	2.333333333333333	1.9708737864077683	1.924499229583974	1.0	1	0	0	1	0	1	1	0	1	0	1.0	2.0	2.0	2.0	2.0	4.0
242	3.0	3.0	3.0	2.0	1.0	2.0	5.0	5.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	1.0	3.0	5.0	1.0	5.0	5.0	4.0	4.0	2.0	3.0	2.0	2.0	1.0	3.0	3.0	3.0	2.0	1.0	1.0	4.0	3.0	4.0	2.0	1.0	4.0	1.0	5.0	2.0	2.0	1.0	5.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	5.0	5.0	1.0	2.0	2.0	2.0	2.0	4.0	2.83	3.0	3.0	2.0	5.0	1.0	3.0	4.0	5.0	5.0	4.0	5.0	1.0	5.0	5.0	1.0	5.0	2.0	1.0	3.0	3.0	5.0	4.0	5.0	1.0	1.0	3.0	3.0	4.0	3.0	2.0	3.0	2.0	5.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	1.0	3.0	3.0	1.0	3.0	4.0	3.0	5.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	2.5776699029126213	1.924499229583974	1.0	1	0	0	1	0	1	1	0	1	0	1.0	1.0	3.0	2.0	3.0	3.0
86	4.0	3.0	4.0	3.0	3.0	3.0	2.0	4.0	5.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	5.0	2.0	4.0	4.0	1.0	4.0	4.0	3.0	4.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	2.0	1.0	2.0	5.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	1.0	5.0	3.0	5.0	2.0	4.0	4.0	5.0	5.0	4.0	4.0	1.0	5.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	1.0	3.0	2.0	3.0	4.0	4.0	2.0	2.0	3.0	5.0	4.0	3.0	3.0	2.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	1.0	2.0	4.0	4.0	1.0	4.0	3.0	3.0	3.0	4.0	5.0	3.0	4.0	3.0	2.0	1.0	4.0	2.0	1.0	1.0	1.0	4.0	3.0631067961165037	2.0785824345146366	2.2	0	1	0	1	1	0	1	0	1	0	4.0	2.0	1.0	2.0	2.0	5.0
184	5.0	4.0	2.0	2.0	2.0	3.0	4.0	2.0	5.0	1.0	2.0	1.0	1.0	4.0	5.0	5.0	1.0	1.0	2.0	5.0	3.0	3.0	5.0	2.0	3.0	1.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	1.0	5.0	3.0	1.0	2.0	1.0	5.0	2.0	2.0	1.0	1.0	3.0	2.0	5.0	2.3333333333333335	1.0	2.0	3.0	5.0	1.0	3.0	2.0	5.0	2.0	4.0	5.0	3.0	4.0	2.0	1.0	3.0	3.0	2.0	1.0	4.0	2.0	3.0	1.0	5.0	5.0	1.0	2.0	1.0	4.0	3.0	2.0	2.0	1.0	5.0	3.0	5.0	2.0	3.0	4.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	1.0	1.0	2.0	2.0	3.0	4.0	4.0	2.0	1.0	3.0	2.0	2.0	5.0	2.0	3.0	4.0	2.0	5.0	4.0	2.0	2.0	1.0	3.0	3.0	2.4563106796116507	3.6194144838212603	1.0	1	0	0	1	0	1	1	0	0	1	3.0	3.0	2.0	1.0	2.0	4.0
13	5.0	3.0	5.0	3.0	2.0	1.0	5.0	5.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	5.0	3.0	2.0	5.0	5.0	2.0	1.0	5.0	4.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	1.0	1.0	4.0	1.0	5.0	1.0	1.0	1.0	3.0	1.0	5.0	3.0	3.0	1.0	3.0	3.0	1.0	5.0	5.0	2.0	3.0	5.0	4.0	5.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	1.0	3.0	3.0	5.0	3.0	3.0	2.0	3.0	3.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	5.0	3.0	5.0	5.0	1.0	2.0	3.0	5.0	5.0	2.0	3.0	3.0	2.0	3.0	4.0	1.0	3.0	3.0	2.0	3.0	5.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	4.0	2.0	5.0	5.0	3.0	2.0	3.0	5.0	2.0	3.0	4.0	3.0	3.0	2.333333333333333	1.3640776699029118	1.3081664098613244	1.4	1	0	0	1	1	0	1	0	1	0	1.0	2.0	3.0	3.0	2.0	3.0
252	5.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0	1.0	2.0	2.0	1.0	3.0	2.0	5.0	4.0	2.0	4.0	5.0	2.0	2.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0	4.0	2.0	1.0	1.0	5.0	4.0	2.0	1.0	1.0	5.0	3.0	5.0	2.0	1.0	2.0	2.0	2.0	4.0	3.0	3.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	3.0	5.0	2.0	5.0	5.0	3.0	3.0	2.0	4.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	2.0	1.0	4.0	5.0	3.0	5.0	2.0	1.0	3.0	5.0	4.0	5.0	4.0	4.0	1.0	5.0	3.0	1.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	3.0	3.0	2.0	3.0	3.0	5.0	5.0	3.0	3.0	5.0	5.0	3.0	2.0	2.0	2.0	3.0	2.666666666666666	1.0	1.0	1.0	1	0	0	1	0	1	0	1	0	1	1.0	2.0	3.0	2.0	2.0	3.0
435	5.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	5.0	5.0	3.0	2.0	1.0	1.0	5.0	3.0	1.0	1.0	1.0	4.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	1.0	4.0	4.0	1.0	1.0	4.0	5.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0	2.0	4.0	5.0	2.0	5.0	2.0	4.0	5.0	5.0	5.0	2.0	1.0	2.0	5.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	1.0	4.0	3.0	4.0	3.0	2.0	1.0	4.0	2.0	5.0	3.0	3.0	1.0	2.0	3.0	5.0	4.0	3.0	4.0	3.0	4.0	1.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	4.0	4.0	2.0	2.0	3.0	5.0	4.0	4.0	1.0	4.0	4.0	5.0	3.0	4.0	3.0	2.0	5.0	3.0	2.0	3.0	1.0	3.0	2.0	2.33495145631068	1.693374422187981	1.4	1	0	0	1	1	0	1	0	1	0	3.0	2.0	1.0	2.0	2.0	3.0
